"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1.13333333333333,26.9537365403027,8,229.08,62,0.242616133605038
"pl2",1.26666666666667,25.9972355264723,8,209.08,59,0.232289007042506
"pl3",1.26666666666667,23.2263172402895,8,155.08,51,0.231096262379857
"pl4",1.13333333333333,22.4633071614227,8,152.08,49,0.21672986542618
"pl5",1.4,21.1756975559103,8,159.08,47,0.193777565354651
"pl6",1.53333333333333,18.2226228401353,8,101.08,39,0.185728574479091
"pl7",2.46666666666667,15.4137462095195,7,138.07,39,0.101087204330113
"pl8",1.8,14.4640148965765,8,79.08,31,0.142183683432054
"pl9",1.93333333333333,13.8207439021546,8,78.08,29,0.134345498277202
"pl10",1.8,12.9436354779066,8,102.08,28,0.112119121275447
"pl11",1.4,14.3912423990362,8,48.08,28,0.166249073603438
"pl12",2.46666666666667,9.107610264132,5,45.05,22,0.0625417679988092
"pl13",1.93333333333333,9.23154131729983,8,25.08,18,0.10453529157574
"pl14",1.8,9.15550669847345,8,36.08,17,0.104046047450538
"pl15",1.93333333333333,8.88982830035462,8,25.08,16,0.102578984853498
"pl16",2.46666666666667,6.91744813867576,7,37.07,15,0.0695894842985159
"pl17",1.93333333333333,7.78210885448737,8,18.08,14,0.0951094204667372
"pl18",2.6,5.94148715584979,6,34.06,14,0.0503673484602793
"pl19",1.93333333333333,7.11458155371199,8,20.08,13,0.0835657661291822
"pl20",2.86666666666667,4.9562582345191,4,19.04,13,0.0260079119026393
"pl21",1.8,7.20132416603005,8,7.08,12,0.092782485532921
"pl22",2.33333333333333,5.64169782745634,7,13.07,11,0.067734497202154
"pl23",2.46666666666667,5.61677092444356,7,14.07,11,0.0656080848739048
"pl24",2.2,6.05675750641426,6,13.06,11,0.071822555201326
"pl25",2.86666666666667,4.3312077294686,5,22.05,11,0.0253209478120931
"pl26",2.2,5.81933621933622,7,11.07,11,0.0729737315349735
"pl27",2.6,4.94109516214779,6,11.06,10,0.0533931197448986
"pl28",2.6,4.45886287625418,3,8.03,10,0.0352929887277737
"pl29",2.6,4.42649513033145,5,12.05,9,0.0484082800480884
"pl30",2.73333333333333,4.23265938231613,5,12.05,9,0.0402565328915629
"pl31",2.6,4.14739982949702,4,9.04,9,0.0426023171886212
"pl32",3.26666666666667,1.83500557413601,2,4.02,7,0.00161533481967526
"pl33",2.33333333333333,4.46957813428402,7,0.07,7,0.0661160569979851
"pl34",2.86666666666667,2.60021786492375,3,8.03,7,0.017669498992438
"pl35",2.46666666666667,3.77206851119895,4,5.04,7,0.0438018241462391
"pl36",2.86666666666667,2.80800648626736,3,6.03,7,0.015364682945342
"pl37",2.73333333333333,3.40864281916913,5,0.05,7,0.03749474747087
"pl38",2.6,3.31417377435684,6,3.06,7,0.0359165651522272
"pl39",2.46666666666667,3.60808080808081,6,5.06,7,0.0477694894540808
"pl40",2.86666666666667,2.43746194129826,4,3.04,6,0.0193757564976237
"pl41",3,2.29875549137899,3,1.03,6,0.0155099030785779
"pl42",2.86666666666667,2.43643665079928,4,4.04,6,0.0204862382244157
"pl43",2.73333333333333,2.38917748917749,4,0.04,5,0.0261074019177372
"pl44",2.86666666666667,2.03725490196078,4,3.04,5,0.0204303767926546
"pl45",3.13333333333333,1.55411255411255,2,2.02,5,0.00431181834100986
"pl46",2.73333333333333,2.30115942028986,2,1.02,5,0.019710423265065
"pl47",2.6,2.63873517786561,3,0.03,5,0.03147025821409
"pl48",2.6,2.09724310776942,4,0.04,4,0.0260109586184961
"pl49",2.6,2.51428571428571,4,0.04,4,0.0335604833206371
"pl50",2.73333333333333,2.41891359414579,4,0.04,4,0.0334224365806966
"pl51",2.46666666666667,2.75454545454545,4,0.04,4,0.0392937391867871
"pl52",2.86666666666667,1.85978780944456,3,0.03,4,0.0196290417637179
"pl53",2.86666666666667,1.77206851119895,3,1.03,4,0.0143284031599854
"pl54",2.86666666666667,1.5969696969697,3,1.03,4,0.0126400852627221
"pl55",2.73333333333333,1.96363636363636,3,0.03,3,0.0261412879795225
"pl56",2.86666666666667,1.18771929824561,2,1.02,3,0.0116041024066616
"pl57",2.73333333333333,1.87509881422925,3,0.03,3,0.0244115251911843
"pl58",2.86666666666667,1.51146245059289,3,0.03,3,0.0156268661430626
"pl59",2.86666666666667,1.54458874458874,3,0.03,3,0.0166837411395037
"pl60",2.86666666666667,1.36231884057971,3,0.03,3,0.0136212037040339
"pl61",2.73333333333333,1.67599067599068,2,0.02,3,0.0187012540641804
"pl62",3.13333333333333,0.758082497212932,1,0.01,3,0.000885254593828757
"pl63",3.13333333333333,0.906178489702517,2,1.02,3,0.00181834261692396
"pl64",2.73333333333333,2,3,0.03,3,0.0280017440391017
"pl65",2.86666666666667,1.15,2,1.02,3,0.0104892023882917
"pl66",2.73333333333333,1.3,2,0.02,2,0.0196207056918455
"pl67",2.86666666666667,1.27058823529412,2,0.02,2,0.0194191809023081
"pl68",3.13333333333333,0.552954292084727,1,0.01,2,0.00131362341253491
"pl69",2.86666666666667,1.10769230769231,1,0.01,2,0.0127277726620268
"pl70",2.86666666666667,1.17171717171717,2,0.02,2,0.0141205455192525
"pl71",2.73333333333333,1.46666666666667,2,0.02,2,0.0229731512478732
