"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,4.5,4,2.04,5,0.324213567369023
"pl2",1,4.5,4,2.04,5,0.324213567369023
"pl3",1,4,4,0.04,4,0.294371055825074
"pl4",1,4,4,0.04,4,0.294371055825074
"pl5",1.5,3,3,0.03,3,0.237432911908449
"pl6",2,2,2,0.02,2,0.162106783684512
"pl7",2,2,2,0.02,2,0.162106783684512
"pl8",2.5,1,1,0.01,1,0.0867806554605742
"disp1",1,6.06666666666667,4,8.04,8,0.404516118205717
"disp2",1,5.16666666666667,4,3.04,6,0.351122411174418
"disp3",1,5.16666666666667,4,3.04,6,0.351122411174419
"disp4",1,4,4,0.04,4,0.265409345351803
"disp5",2,2,2,0.02,2,0.139106772853914
