"X","Centaurea.nigra","Leucanthemum.vulgare","Cirsium.palustre","Ranunculus.acris","Cirsium.arvense","Filipendula.ulmaria","Galium.verum","Hypochoeris.radicata","Primula.veris","Lotus.corniculatus","Lathyrus.pratensis","Orchis.morio","Taraxacum.officinale","Trifolium.repens","Cerastium.fontanum","Trifolium.dubium"
"Bombus lapidarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maniola jurtina",110,31,0,1,6,0,0,0,0,0,0,0,0,0,0,0
"Bombus pascuorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calocoris bipunctatus",36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Empis livida",11,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psithyrus vest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Episyrphus balteatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus pratorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus terrestris/lucorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis tenax",3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Helophilus sp1 M_PL_007",2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphus sp1 M_PL_007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scathophaga stercoraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria sp1 M_PL_007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthophora plumipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheilosia bergenstammi",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Lucillia sp1 M_PL_007",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma sp1 M_PL_007",0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Platycheirus sp1 M_PL_007",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eriothrix rufomaculatus",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Eristalis nemorum",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meliscaeva sp1 M_PL_007",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena chrysosceles",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pollenia sp1 M_PL_007",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena pubescens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus hortorum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephus pygmaeus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis intricarius",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lasioglossum calceatum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum villosulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycaena phlaeas ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panameria tenebrata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sarcophagus sp1 M_PL_007",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tropidia scitta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volucella bombylans",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
