"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_001.csv",177,58,22,22,22,23,22
"M_PL_002.csv",103,36,14,13,13,15,13
"M_PL_003.csv",61,17,5,6,6,6,5
"M_PL_004.csv",112,20,3,3,3,3,3
"M_PL_005.csv",361,122,25,30,36,42,25
"M_PL_006.csv",78,33,3,3,3,3,3
"M_PL_007.csv",50,22,5,4,4,4,4
"M_PL_008.csv",49,23,6,7,7,11,6
"M_PL_009.csv",142,48,7,8,8,12,7
"M_PL_010.csv",107,45,24,29,29,32,24
"M_PL_011.csv",27,11,4,5,6,6,4
"M_PL_012.csv",84,26,7,7,7,7,7
"M_PL_013.csv",65,20,4,4,4,5,4
"M_PL_014.csv",108,42,6,5,5,6,5
"M_PL_015.csv",793,308,48,56,60,87,48
"M_PL_016.csv",205,85,9,9,10,17,9
"M_PL_017.csv",104,41,9,11,11,11,9
"M_PL_018.csv",144,43,18,19,23,24,18
"M_PL_019.csv",123,50,14,16,16,18,14
"M_PL_020.csv",109,46,3,3,3,3,3
"M_PL_021.csv",766,192,12,12,12,38,12
"M_PL_022.csv",66,17,4,4,4,4,4
"M_PL_023.csv",90,19,3,3,3,3,3
"M_PL_024.csv",22,8,4,4,3,3,3
"M_PL_025.csv",57,23,6,6,6,10,6
"M_PL_026.csv",150,50,2,2,2,2,2
"M_PL_027.csv",75,25,8,8,9,11,8
"M_PL_028.csv",180,65,13,14,16,24,13
"M_PL_029.csv",167,52,17,17,17,19,17
"M_PL_030.csv",70,19,9,7,7,13,7
"M_PL_031.csv",91,31,9,8,13,17,8
"M_PL_032.csv",40,7,2,2,2,2,2
"M_PL_033.csv",47,24,8,8,10,12,8
"M_PL_034.csv",151,62,6,8,8,9,6
"M_PL_035.csv",97,31,9,9,9,9,9
"M_PL_036.csv",22,6,2,2,2,2,2
"M_PL_037.csv",50,22,5,5,5,7,5
"M_PL_038.csv",50,9,4,4,4,7,4
"M_PL_039.csv",68,24,6,7,9,10,6
"M_PL_040.csv",70,22,8,7,9,10,7
"M_PL_041.csv",70,24,10,10,11,12,10
"M_PL_042.csv",16,7,2,2,2,2,2
"M_PL_043.csv",110,48,12,14,14,19,12
"M_PL_044.csv",712,239,21,23,25,49,21
"M_PL_045.csv",41,16,6,6,7,8,6
"M_PL_046.csv",60,24,11,12,13,14,11
"M_PL_047.csv",205,75,4,4,4,4,4
"M_PL_048.csv",266,119,10,10,9,12,9
"M_PL_049.csv",262,71,11,13,15,16,11
"M_PL_050.csv",49,12,6,6,7,7,6
"M_PL_051.csv",104,16,3,3,3,3,3
"M_PL_052.csv",52,21,6,6,6,7,6
"M_PL_053.csv",364,122,19,22,23,34,19
"M_PL_054.csv",414,128,23,24,27,30,23
"M_PL_055.csv",253,84,16,16,17,19,16
"M_PL_056.csv",456,147,22,28,33,43,22
"M_PL_057.csv",997,353,17,17,20,36,17
"M_PL_058.csv",111,44,14,18,19,20,14
"M_PL_059.csv",26,13,6,5,5,5,5
"M_SD_001.csv",28,9,3,3,3,5,3
"M_SD_002.csv",40,20,5,5,5,5,5
"M_SD_003.csv",41,15,4,4,4,4,4
"M_SD_004.csv",52,22,4,4,4,4,4
"M_SD_005.csv",34,12,3,3,3,3,3
"M_SD_006.csv",34,12,4,4,5,5,4
"M_SD_007.csv",79,30,3,3,3,3,3
"M_SD_008.csv",26,13,10,9,8,11,8
"M_SD_009.csv",25,4,3,4,4,5,3
"M_SD_010.csv",64,32,8,8,9,13,8
"M_SD_011.csv",25,11,6,5,5,6,5
"M_SD_012.csv",64,26,12,12,12,14,12
"M_SD_013.csv",55,25,11,8,19,14,8
"M_SD_014.csv",33,16,9,10,10,10,9
"M_SD_015.csv",32,16,4,4,4,4,4
"M_SD_016.csv",85,43,17,18,20,23,17
"M_SD_017.csv",24,12,7,6,10,10,6
"M_SD_018.csv",53,11,5,5,5,5,5
"M_SD_019.csv",209,90,13,16,20,21,13
"M_SD_020.csv",58,22,8,10,10,10,8
"M_SD_021.csv",46,20,9,10,10,10,9
"M_SD_022.csv",317,127,39,51,53,60,39
"M_SD_023.csv",23,7,4,4,4,4,4
"M_SD_024.csv",19,9,6,6,7,8,6
"M_SD_025.csv",13,5,5,5,5,4,4
"M_SD_026.csv",6,2,2,2,2,2,2
"M_SD_027.csv",16,8,3,3,3,3,3
"M_SD_028.csv",13,6,3,3,3,3,3
"M_SD_029.csv",9,3,2,2,2,2,2
"M_SD_030.csv",9,5,2,3,2,2,2
"M_PL_001.csv",177,58,22,22,22,23,22
"M_PL_002.csv",103,41,15,13,13,15,13
"M_PL_003.csv",61,22,5,5,6,6,5
"M_PL_004.csv",112,20,3,3,3,3,3
"M_PL_005.csv",361,122,25,31,36,42,25
"M_PL_006.csv",78,30,3,3,3,3,3
"M_PL_007.csv",50,18,5,4,4,4,4
"M_PL_008.csv",49,22,6,7,7,11,6
"M_PL_009.csv",142,47,7,7,8,12,7
"M_PL_010.csv",107,50,23,29,29,32,23
"M_PL_011.csv",27,12,4,5,6,6,4
"M_PL_012.csv",84,27,7,7,7,7,7
"M_PL_013.csv",65,29,4,4,4,5,4
"M_PL_014.csv",108,38,6,5,5,6,5
"M_PL_015.csv",793,302,48,56,60,87,48
"M_PL_016.csv",205,83,9,9,10,17,9
"M_PL_017.csv",104,33,9,10,11,11,9
"M_PL_018.csv",144,51,18,19,23,24,18
"M_PL_019.csv",123,51,14,16,16,18,14
"M_PL_020.csv",109,28,3,3,3,3,3
"M_PL_021.csv",766,216,12,12,12,38,12
"M_PL_022.csv",66,11,4,4,4,4,4
"M_PL_023.csv",90,23,3,3,3,3,3
"M_PL_024.csv",22,6,4,4,3,3,3
"M_PL_025.csv",57,22,6,6,6,10,6
"M_PL_026.csv",150,54,2,2,2,2,2
"M_PL_027.csv",75,23,8,8,9,11,8
"M_PL_028.csv",180,73,13,14,16,24,13
"M_PL_029.csv",167,71,17,17,17,19,17
"M_PL_030.csv",70,17,10,7,7,13,7
"M_PL_031.csv",91,28,10,8,13,17,8
"M_PL_032.csv",40,11,2,2,2,2,2
"M_PL_033.csv",47,22,9,8,10,12,8
"M_PL_034.csv",151,42,6,7,8,9,6
"M_PL_035.csv",97,36,9,10,9,9,9
"M_PL_036.csv",22,7,2,2,2,2,2
"M_PL_037.csv",50,14,5,5,5,7,5
"M_PL_038.csv",50,15,4,4,4,7,4
"M_PL_039.csv",68,25,6,6,9,10,6
"M_PL_040.csv",70,22,8,7,9,10,7
"M_PL_041.csv",70,24,10,10,11,12,10
"M_PL_042.csv",16,8,2,2,2,2,2
"M_PL_043.csv",110,33,12,14,14,19,12
"M_PL_044.csv",712,188,21,23,25,49,21
"M_PL_045.csv",41,12,6,6,7,8,6
"M_PL_046.csv",60,29,11,11,13,14,11
"M_PL_047.csv",205,72,4,4,4,4,4
"M_PL_048.csv",266,93,10,10,9,12,9
"M_PL_049.csv",262,95,11,13,15,16,11
"M_PL_050.csv",49,24,6,6,7,7,6
"M_PL_051.csv",104,26,3,3,3,3,3
"M_PL_052.csv",52,20,6,6,6,7,6
"M_PL_053.csv",364,114,19,23,23,34,19
"M_PL_054.csv",414,123,23,25,27,30,23
"M_PL_055.csv",253,73,16,16,17,19,16
"M_PL_056.csv",456,138,22,28,33,43,22
"M_PL_057.csv",997,268,17,17,20,36,17
"M_PL_058.csv",111,37,14,18,19,20,14
"M_PL_059.csv",26,13,6,5,5,5,5
"M_SD_001.csv",28,10,3,3,3,5,3
"M_SD_002.csv",40,13,5,5,5,5,5
"M_SD_003.csv",41,18,4,4,4,4,4
"M_SD_004.csv",52,21,4,4,4,4,4
"M_SD_005.csv",34,10,3,3,3,3,3
"M_SD_006.csv",34,10,4,4,5,5,4
