"","Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"1","M_PL_001.csv",177,62.27,21.73,22.13,22,23,21.73
"2","M_PL_002.csv",103,36.23,14.46,12.51,13,15,12.51
"3","M_PL_003.csv",61,18.88,5,5.35,6,6,5
"4","M_PL_004.csv",112,37.28,3,3,3,3,3
"5","M_PL_005.csv",361,122.61,25,30.73,36,42,25
"6","M_PL_006.csv",78,27.86,3,3,3,3,3
"7","M_PL_007.csv",50,17.33,5,4,4,4,4
"8","M_PL_008.csv",49,19.49,6,7,7,11,6
"9","M_PL_009.csv",142,44.31,7,7.52,8,12,7
"10","M_PL_010.csv",107,47.63,23.46,29,29,32,23.46
"11","M_PL_011.csv",27,11.53,4,5.04,6,6,4
"12","M_PL_012.csv",84,26.96,7,7,7,7,7
"13","M_PL_013.csv",65,21.79,4,4,4,5,4
"14","M_PL_014.csv",108,36.79,6,5,5,6,5
"15","M_PL_015.csv",793,300.53,48,56,60,87,48
"16","M_PL_016.csv",205,69.66,9,9,10,17,9
"17","M_PL_017.csv",104,40.7,9,10.52,11,11,9
"18","M_PL_018.csv",144,54.34,18,19,23,24,18
"19","M_PL_019.csv",123,45.24,14,15.37,16,18,14
"20","M_PL_020.csv",109,38.59,3,3,3,3,3
"21","M_PL_021.csv",766,228.55,12,12,12,38,12
"22","M_PL_022.csv",66,17.61,4,4,4,4,4
"23","M_PL_023.csv",90,25.17,3,3,3,3,3
"24","M_PL_024.csv",22,8.06,4,3.55,3,3,3
"25","M_PL_025.csv",57,23.05,6,6,6,10,6
"26","M_PL_026.csv",150,46.45,2,2,2,2,2
"27","M_PL_027.csv",75,25.6,8.54,8,9,11,8
"28","M_PL_028.csv",180,62.88,13,14,16,24,13
"29","M_PL_029.csv",167,58.89,17,16.97,17,19,16.97
"30","M_PL_030.csv",70,23.16,10.23,6.65,7,13,6.65
"31","M_PL_031.csv",91,28.75,9.53,7.92,13,17,7.92
"32","M_PL_032.csv",40,13.79,2,2,2,2,2
"33","M_PL_033.csv",47,20.23,8.65,8,10,12,8
"34","M_PL_034.csv",151,53.32,6,7.54,8,9,6
"35","M_PL_035.csv",97,31.84,9,8.93,9,9,8.93
"36","M_PL_036.csv",22,7.54,3.68,2,2,2,2
"37","M_PL_037.csv",50,15.61,5,5,5,7,5
"38","M_PL_038.csv",50,17.65,4.36,4,4,7,4
"39","M_PL_039.csv",68,23.85,6,6.68,9,10,6
"40","M_PL_040.csv",70,24.69,8.56,7,9,10,7
"41","M_PL_041.csv",70,25.27,10,10,11,12,10
"42","M_PL_042.csv",16,6.1,2,2,2,2,2
"43","M_PL_043.csv",110,40.49,12,14,14,19,12
"44","M_PL_044.csv",712,209.91,21,23,25,49,21
"45","M_PL_045.csv",41,14.5,6,5.45,7,8,5.45
"46","M_PL_046.csv",60,26.66,11,11.94,13,14,11
"47","M_PL_047.csv",205,69.47,4,4,4,4,4
"48","M_PL_048.csv",266,92.41,10,10,9,12,9
"49","M_PL_049.csv",262,89.19,11,13,15,16,11
"50","M_PL_050.csv",49,18.19,6,6.36,7,7,6
"51","M_PL_051.csv",104,32.76,3,3,3,3,3
"52","M_PL_052.csv",52,18.85,6,6,6,7,6
"53","M_PL_053.csv",364,111.77,19,22.49,23,34,19
"54","M_PL_054.csv",414,128.69,23,25.23,27,30,23
"55","M_PL_055.csv",253,82.32,16,16.4,17,19,16
"56","M_PL_056.csv",456,143.71,22,28.71,33,43,22
"57","M_PL_057.csv",997,306.47,17,17,20,36,17
"58","M_PL_058.csv",111,42.35,14,17.55,19,20,14
"59","M_PL_059.csv",26,11.45,6,5,5,5,5
"60","M_SD_001.csv",28,10.68,3,3,3,5,3
"61","M_SD_002.csv",40,16.61,5,5,5,5,5
"62","M_SD_003.csv",41,14.73,4,4,4,4,4
"63","M_SD_004.csv",52,19.15,4,4,4,4,4
"64","M_SD_005.csv",34,10.8,3,3,3,3,3
"65","M_SD_006.csv",34,11.49,4,4.31,5,5,4
"66","M_SD_007.csv",79,28.99,3,3,3,3,3
"67","M_SD_008.csv",26,12.68,9.83,8.45,8,11,8
"68","M_SD_009.csv",25,8.84,3,4,4,5,3
"69","M_SD_010.csv",64,29.11,8,8,9,13,8
"70","M_SD_011.csv",25,10.66,6,5.33,5,6,5
"71","M_SD_012.csv",64,24.15,12.71,12.53,12,14,12
"72","M_SD_013.csv",55,24.96,11,8,19,14,8
"73","M_SD_014.csv",33,16.45,9,10,10,10,9
"74","M_SD_015.csv",32,14.55,4,4,4,4,4
"75","M_SD_016.csv",85,37.12,17,18,20,23,17
"76","M_SD_017.csv",24,11.5,7.28,6.62,10,10,6.62
"77","M_SD_018.csv",53,14.21,4.24,5,5,5,4.24
"78","M_SD_019.csv",209,83.12,13,16.48,20,21,13
"79","M_SD_020.csv",58,23.87,7.65,9.22,10,10,7.65
"80","M_SD_021.csv",46,19.51,9,10,10,10,9
"81","M_SD_022.csv",317,123.14,39,50.43,53,60,39
"82","M_SD_023.csv",23,9.2,4,4,4,4,4
"83","M_SD_024.csv",19,8.83,5.88,6,7,8,5.88
"84","M_SD_025.csv",13,6.14,4.38,4.16,4.16,4,4
"85","M_SD_026.csv",6,2.35,2,2,2,2,2
"86","M_SD_027.csv",16,6.7,3,3,3,3,3
"87","M_SD_028.csv",13,6.17,3,3,3,3,3
"88","M_SD_029.csv",9,3.77,2,2,2,2,2
"89","M_SD_030.csv",9,3.99,2,2.65,2,2,2
