"","Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"1","M_PL_001.csv",177,64,22,22,22,23,22
"2","M_PL_002.csv",103,37.5,15,13,13,15,13
"3","M_PL_003.csv",61,21.5,5,5,6,6,5
"4","M_PL_004.csv",112,39,3,3,3,3,3
"5","M_PL_005.csv",361,120.5,25,30,36,42,25
"6","M_PL_006.csv",78,30.5,3,3,3,3,3
"7","M_PL_007.csv",50,14,5,4,4,4,4
"8","M_PL_008.csv",49,20.5,6,7,7,11,6
"9","M_PL_009.csv",142,47.5,7,8,8,12,7
"10","M_PL_010.csv",107,51,23.5,29,29,32,23.5
"11","M_PL_011.csv",27,11,4,4.5,6,6,4
"12","M_PL_012.csv",84,29,7,7,7,7,7
"13","M_PL_013.csv",65,25.5,4,4,4,5,4
"14","M_PL_014.csv",108,39.5,6,5,5,6,5
"15","M_PL_015.csv",793,303.5,48,56,60,87,48
"16","M_PL_016.csv",205,76,9,9,10,17,9
"17","M_PL_017.csv",104,44,9,10,11,11,9
"18","M_PL_018.csv",144,55,18,19,23,24,18
"19","M_PL_019.csv",123,44.5,14,15.5,16,18,14
"20","M_PL_020.csv",109,37,3,3,3,3,3
"21","M_PL_021.csv",766,215,12,12,12,38,12
"22","M_PL_022.csv",66,14.5,4,4,4,4,4
"23","M_PL_023.csv",90,28,3,3,3,3,3
"24","M_PL_024.csv",22,8,4,4,3,3,3
"25","M_PL_025.csv",57,23,6,6,6,10,6
"26","M_PL_026.csv",150,59.5,2,2,2,2,2
"27","M_PL_027.csv",75,27,9,8,9,11,8
"28","M_PL_028.csv",180,65,13,14,16,24,13
"29","M_PL_029.csv",167,58.5,17,17,17,19,17
"30","M_PL_030.csv",70,24,10,6,7,13,6
"31","M_PL_031.csv",91,27.5,10,8,13,17,8
"32","M_PL_032.csv",40,14,2,2,2,2,2
"33","M_PL_033.csv",47,22,9,8,10,12,8
"34","M_PL_034.csv",151,55,6,7,8,9,6
"35","M_PL_035.csv",97,37,9,8,9,9,8
"36","M_PL_036.csv",22,7.5,3.5,2,2,2,2
"37","M_PL_037.csv",50,20,5,5,5,7,5
"38","M_PL_038.csv",50,19.5,4,4,4,7,4
"39","M_PL_039.csv",68,26,6,7,9,10,6
"40","M_PL_040.csv",70,24,8,7,9,10,7
"41","M_PL_041.csv",70,25.5,10,10,11,12,10
"42","M_PL_042.csv",16,6,2,2,2,2,2
"43","M_PL_043.csv",110,40,12,14,14,19,12
"44","M_PL_044.csv",712,212,21,23,25,49,21
"45","M_PL_045.csv",41,12,6,5.5,7,8,5.5
"46","M_PL_046.csv",60,27,11,11.5,13,14,11
"47","M_PL_047.csv",205,72.5,4,4,4,4,4
"48","M_PL_048.csv",266,95.5,10,10,9,12,9
"49","M_PL_049.csv",262,88.5,11,13,15,16,11
"50","M_PL_050.csv",49,19,6,6,7,7,6
"51","M_PL_051.csv",104,39.5,3,3,3,3,3
"52","M_PL_052.csv",52,20,6,6,6,7,6
"53","M_PL_053.csv",364,98.5,19,22,23,34,19
"54","M_PL_054.csv",414,118.5,23,25,27,30,23
"55","M_PL_055.csv",253,87,16,16.5,17,19,16
"56","M_PL_056.csv",456,143.5,22,29,33,43,22
"57","M_PL_057.csv",997,308.5,17,17,20,36,17
"58","M_PL_058.csv",111,42.5,14,18,19,20,14
"59","M_PL_059.csv",26,12,6,5,5,5,5
"60","M_SD_001.csv",28,11,3,3,3,5,3
"61","M_SD_002.csv",40,17,5,5,5,5,5
"62","M_SD_003.csv",41,14,4,4,4,4,4
"63","M_SD_004.csv",52,19.5,4,4,4,4,4
"64","M_SD_005.csv",34,9.5,3,3,3,3,3
"65","M_SD_006.csv",34,11,4,4.5,5,5,4
"66","M_SD_007.csv",79,30.5,3,3,3,3,3
"67","M_SD_008.csv",26,13,10,9,8,11,8
"68","M_SD_009.csv",25,7,3,4,4,5,3
"69","M_SD_010.csv",64,30,8,8,9,13,8
"70","M_SD_011.csv",25,10,6,5,5,6,5
"71","M_SD_012.csv",64,23.5,13,13,12,14,12
"72","M_SD_013.csv",55,26,11,8,19,14,8
"73","M_SD_014.csv",33,17,9,10,10,10,9
"74","M_SD_015.csv",32,16,4,4,4,4,4
"75","M_SD_016.csv",85,38.5,17,18,20,23,17
"76","M_SD_017.csv",24,11.5,8,6.5,10,10,6.5
"77","M_SD_018.csv",53,10.5,4,5,5,5,4
"78","M_SD_019.csv",209,84,13,17,20,21,13
"79","M_SD_020.csv",58,22,8,9,10,10,8
"80","M_SD_021.csv",46,21,9,10,10,10,9
"81","M_SD_022.csv",317,127.5,39,51,53,60,39
"82","M_SD_023.csv",23,9.5,4,4,4,4,4
"83","M_SD_024.csv",19,10,6,6,7,8,6
"84","M_SD_025.csv",13,6.5,4,4,4,4,4
"85","M_SD_026.csv",6,2.5,2,2,2,2,2
"86","M_SD_027.csv",16,8,3,3,3,3,3
"87","M_SD_028.csv",13,6.5,3,3,3,3,3
"88","M_SD_029.csv",9,4,2,2,2,2,2
"89","M_SD_030.csv",9,5,2,3,2,2,2
