	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.5088883888388838	0.31582979726544086	0.24039368222536536	0.22111257368511417	0.22254335260115607	0.25465003147713605
PL_002	0.5033700980392157	0.4336734693877551	0.3483737244897959	0.3244894801980198	0.32201423267326734	0.31969368811881194
PL_003	0.45200000000000007	0.21764705882352942	0.26156862745098036	0.20980392156862746	0.2027450980392157	0.21450980392156863
PL_004	0.5127627627627627	0.46612394957983194	0.36022787493375735	0.37091503267973863	0.36596891008655724	0.38434022257551675
PL_005	0.5692828282828283	0.4380497714575927	0.299938884644767	0.29369493251846196	0.2948764960529667	0.34824038706391647
PL_006	0.5413029593357462	0.4374460742018982	0.4117773943054357	0.39279551337359786	0.41134598792062116	0.39322691975841234
PL_007	0.5558390022675737	0.4465130023640662	0.3484042553191489	0.3223379629629629	0.33796296296296297	0.35127314814814814
PL_008	0.5520833333333331	0.4786184210526316	0.43530701754385964	0.4369517543859649	0.4292763157894736	0.4385964912280701
PL_009	0.5514785430941219	0.43305084745762723	0.2671895660536123	0.26953359778819574	0.24789638177665585	0.3195396081259767
PL_010	0.6048907646474677	0.5085650446871895	0.4720705064548163	0.4781529294935452	0.4739324726911619	0.4973932472691162
PL_011	0.6065088757396451	0.4169230769230769	0.4076923076923077	0.4107692307692308	0.42	0.3984615384615385
PL_012	0.5490690032858707	0.34510932105868813	0.2836593785960875	0.301330376940133	0.2760532150776053	0.31729490022172946
PL_013	0.5200892857142857	0.471797052154195	0.37996031746031744	0.33120748299319724	0.34424603174603174	0.3828125
PL_014	0.5189223491404176	0.4377967711301044	0.38437796771130095	0.37321937321937315	0.3982668566001899	0.46794871794871795
PL_015	0.5703980495647163	0.47795989906256064	0.40443390158219056	0.39875521909742445	0.40013302275659696	0.41768479506122086
PL_016	0.5439259502683755	0.46888655345981534	0.3776481000055313	0.3226256983240224	0.3647168364552525	0.39462153576514414
PL_017	0.5841833599606734	0.45793000744601636	0.43068698537544553	0.41827454835934624	0.43179304411945435	0.4234361558313875
PL_018	0.5914418914418914	0.44976525821596247	0.34252179745137495	0.34211938296445343	0.34131455399061034	0.35848423876592894
PL_019	0.5658630665380907	0.4440677966101695	0.32343218279047153	0.3079727758872144	0.302139037433155	0.3265435099659699
PL_020	0.5508750508750511	0.44329255650010363	0.3773584905660377	0.3405575905575905	0.37538876218121503	0.3893976393976394
PL_021	0.5130854114171518	0.45634833137881986	0.25275762016355474	0.2138748343866893	0.2452081436809609	0.4070701634494948
PL_022	0.4887179487179487	0.4183970856102004	0.3451730418943534	0.2802083333333334	0.30833333333333335	0.38581196581196575
PL_023	0.5125624219725343	0.4327107279693486	0.3192049808429119	0.28647828863346103	0.3021232439335888	0.2901500638569604
PL_024	0.6547619047619047	0.5027777777777778	0.34444444444444444	0.3472222222222222	0.33333333333333326	0.33888888888888885
PL_025	0.5527597402597401	0.45292207792207784	0.4553571428571428	0.4517045454545454	0.45089285714285715	0.45819805194805185
PL_026	0.3899453144419588	0.32449978714346533	0.2497871434653044	0.21530438484461475	0.2414857386121754	0.19827586206896555
PL_027	0.5157657657657657	0.45901826484018265	0.25247747747747756	0.26801801801801806	0.2788288288288289	0.2912162162162163
PL_028	0.5671596800771673	0.4444668983913992	0.3485166922641662	0.34694042518793955	0.35098213563980274	0.3743432220515722
PL_029	0.5747396365121502	0.42704160246533135	0.3027594047126912	0.3012558709413927	0.31126199714110675	0.3271901163977946
