	NoOrder	MR	Krisk	Kdegree	Degree	eigenc
PL_001	0.6537010843941538	0.31214174048983856	0.41336633663366334	0.4110133235545777	0.39854541009656524	0.4535509106466201
PL_002	0.6960392441860465	0.3588033536585366	0.4758003048780488	0.46391369047619047	0.46428571428571425	0.48586309523809523
PL_003	0.4111111111111111	0.28962962962962957	0.37851851851851853	0.3088888888888889	0.3296296296296296	0.3562962962962963
PL_004	0.9011437908496731	0.2820855614973263	0.667483660130719	0.6748366013071896	0.630718954248366	0.790032679738562
PL_005	0.720189393939394	0.27551257253384914	0.4714066985645933	0.5199808612440191	0.4795598086124402	0.5573397129186604
PL_006	0.6398264223722276	0.24897540983606553	0.46926229508196715	0.4887295081967213	0.4354508196721311	0.5420081967213115
PL_007	0.6944444444444445	0.3293650793650793	0.5138888888888888	0.4953703703703704	0.46574074074074073	0.5768518518518517
PL_008	0.8456937799043062	0.5251196172248804	0.7308612440191388	0.7093301435406699	0.7236842105263157	0.7212918660287081
PL_009	0.8057909604519775	0.3583271923360353	0.707274011299435	0.6221751412429379	0.64159604519774	0.6857344632768362
PL_010	0.8932512733446518	0.6003820033955856	0.7026740237691003	0.7039473684210527	0.706918505942275	0.7149830220713073
PL_011	0.7472527472527473	0.38757396449704146	0.44082840236686394	0.3994082840236687	0.39349112426035504	0.4289940828402367
PL_012	0.6686520376175548	0.27163636363636373	0.3821818181818181	0.3428571428571428	0.35000000000000003	0.36038961038961037
PL_013	0.913690476190476	0.43526785714285715	0.7991071428571428	0.796875	0.7113095238095237	0.7212301587301586
PL_014	0.5889740315027672	0.2725546058879392	0.47958214624881296	0.5603038936372269	0.48243114909781576	0.6980056980056979
PL_015	0.9133198083579763	0.3791753291753292	0.6560868560868561	0.6579810579810579	0.6649572649572649	0.6858974358974359
PL_016	0.883541039965621	0.36405959031657353	0.7204376163873372	0.6981091534164161	0.6761925225612376	0.7107864202836269
PL_017	0.7713924050632911	0.3702531645569621	0.48582278481012664	0.5187341772151899	0.48683544303797466	0.5531645569620253
PL_018	0.8565323565323566	0.44511278195488724	0.605764411027569	0.62531328320802	0.6318295739348372	0.650375939849624
PL_019	0.6814705882352942	0.3473604826546003	0.5570135746606335	0.5377073906485671	0.5404223227752639	0.565761689291101
PL_020	0.7302197802197803	0.2673992673992674	0.5555555555555556	0.5428571428571427	0.5323565323565325	0.6005494505494504
PL_021	0.6818624506955379	0.17612251072235768	0.5116922638856757	0.5082575501414818	0.5098058407930095	0.6207330335838459
PL_022	0.6922222222222223	0.2511111111111111	0.4677777777777778	0.5022222222222222	0.4066666666666667	0.7444444444444445
PL_023	0.7388285024154588	0.228505291005291	0.4984903381642512	0.7013888888888888	0.4417270531400966	0.8070652173913042
PL_024	0.7333333333333333	0.4111111111111111	0.5499999999999999	0.5444444444444444	0.5277777777777777	0.5444444444444444
PL_025	0.8103146853146854	0.43444055944055954	0.6127622377622377	0.6634615384615385	0.604020979020979	0.6791958041958043
PL_026	0.4884479717813051	0.2137509850275808	0.3398345153664303	0.3804176516942474	0.3016154452324665	0.40524034672970843
PL_027	0.8351851851851851	0.44656862745098036	0.6916666666666667	0.6157407407407407	0.6712962962962963	0.6185185185185186
PL_028	0.7423232145990524	0.32661870503597124	0.5566546762589928	0.6196043165467625	0.5883093525179857	0.6620503597122303
PL_029	0.8264441369768248	0.31073446327683624	0.49576271186440685	0.48296437218955385	0.4921307506053269	0.6197682462815634
PL_030	0.7385444743935312	0.3948787061994609	0.6118598382749326	0.6078167115902966	0.5943396226415094	0.6314016172506739
PL_031	0.766156462585034	0.3314108251996451	0.4217687074829932	0.38562925170068024	0.40603741496598644	0.41284013605442177
PL_032	0.803030303030303	0.38888888888888884	0.4783549783549783	0.6298701298701299	0.5216450216450217	0.6255411255411256
PL_033	0.8178733031674208	0.6640271493212669	0.6753393665158371	0.6753393665158371	0.6843891402714932	0.6798642533936652
PL_034	0.8753004807692308	0.24969951923076922	0.47776442307692313	0.4393028846153846	0.4627403846153847	0.5204326923076924
PL_035	0.7069672131147541	0.3121069182389937	0.3676624737945493	0.38810272536687634	0.36399371069182396	0.4085429769392033
PL_036	0.6416666666666666	0.4305555555555556	0.4333333333333333	0.46666666666666673	0.44166666666666665	0.47500000000000003
PL_037	0.8724999999999999	0.5152777777777777	0.6925	0.6475	0.71	0.64
PL_038	0.8898809523809523	0.4702380952380952	0.6815476190476191	0.6904761904761905	0.7053571428571429	0.7410714285714285
PL_039	0.8068050749711649	0.3454440599769319	0.5680507497116494	0.49884659746251436	0.5553633217993079	0.5046136101499424
PL_040	0.5176423416198876	0.29401993355481726	0.4784053156146179	0.46926910299003316	0.420265780730897	0.6226944667201282
PL_041	0.7205551387846962	0.39784053156146176	0.5240863787375416	0.5556478405315615	0.5240863787375416	0.5565891472868217
PL_042	0.3194444444444444	0.3452380952380952	0.369047619047619	0.369047619047619	0.3452380952380952	0.369047619047619
