"","Network","NoOrder","MR","Krisk","Kdegree","Degree","eigenc"
"1","PL_001",0.706359251132811,0.312141740489839,0.423596925482022,0.411469258036915,0.395619117467302,0.45353624251314
"2","PL_002",0.728055872785161,0.358803353658537,0.471040396341463,0.46413318452381,0.455457589285714,0.485625
"3","PL_003",0.599277874331551,0.28962962962963,0.350488888888889,0.308474074074074,0.323185185185185,0.356296296296296
"4","PL_004",0.826515894236482,0.282085561497326,0.657949346405229,0.669542483660131,0.653643790849673,0.790032679738562
"5","PL_005",0.771830179425837,0.275512572533849,0.483560956937799,0.519823157894737,0.490588708133971,0.55733971291866
"6","PL_006",0.754029050144648,0.248975409836066,0.451977459016393,0.488247950819672,0.434405737704918,0.542008196721312
"7","PL_007",0.727248842592593,0.329365079365079,0.498174603174603,0.492037037037037,0.470222222222222,0.576851851851852
"8","PL_008",0.864258373205742,0.52511961722488,0.728684210526316,0.70933014354067,0.711650717703349,0.721291866028708
"9","PL_009",0.844733480717269,0.358327192336035,0.668919491525424,0.63149011299435,0.647305790960452,0.685734463276836
"10","PL_010",0.908616298811545,0.600382003395586,0.694821731748727,0.704426994906621,0.700275891341256,0.714983022071307
"11","PL_011",0.694488588334742,0.387573964497041,0.427159763313609,0.399408284023669,0.399881656804734,0.428994082840237
"12","PL_012",0.674878801147767,0.271636363636364,0.386,0.341727272727273,0.349396103896104,0.36038961038961
"13","PL_013",0.848501984126984,0.435267857142857,0.80875,0.77156498015873,0.76062251984127,0.721230158730159
"14","PL_014",0.698464251797585,0.272554605887939,0.493452041785375,0.561695156695157,0.484007597340931,0.698005698005698
"15","PL_015",0.920320358526465,0.379175329175329,0.66372176022176,0.657923885423885,0.663331254331254,0.685897435897436
"16","PL_016",0.872849162011173,0.364059590316574,0.727458100558659,0.697301246239794,0.671860764933391,0.710786420283627
"17","PL_017",0.844488185654008,0.370253164556962,0.489539240506329,0.51873417721519,0.488556962025316,0.553164556962025
"18","PL_018",0.852931752458068,0.445112781954887,0.619383458646616,0.624949874686717,0.62587969924812,0.650375939849624
"19","PL_019",0.773257164404223,0.3473604826546,0.539110105580694,0.537315233785822,0.532,0.565761689291101
"20","PL_020",0.729042381595013,0.267399267399267,0.548040293040293,0.542681318681319,0.519882173382173,0.60054945054945
"21","PL_021",0.752861166570177,0.176122510722358,0.514703956149561,0.509196134612305,0.498529940062803,0.620733033583846
"22","PL_022",0.678944444444444,0.251111111111111,0.500277777777778,0.501888888888889,0.430388888888889,0.744444444444444
"23","PL_023",0.689641563146998,0.228505291005291,0.495935990338164,0.704100241545894,0.451690821256039,0.806799516908212
"24","PL_024",0.669924242424242,0.411111111111111,0.565,0.544944444444444,0.528333333333333,0.544444444444444
"25","PL_025",0.852972027972028,0.43444055944056,0.595646853146853,0.664055944055944,0.603041958041958,0.679195804195804
"26","PL_026",0.564441195525538,0.213750985027581,0.336178092986604,0.381075650118203,0.28736012608353,0.405240346729708
"27","PL_027",0.823240196078431,0.44656862745098,0.67112962962963,0.61787037037037,0.672833333333333,0.618518518518519
"28","PL_028",0.803705562379365,0.326618705035971,0.561267985611511,0.61780035971223,0.575429856115108,0.66205035971223
"29","PL_029",0.815715546811945,0.310734463276836,0.506058457281218,0.486459702525078,0.4918626772743,0.619768246281563
"30","PL_030",0.732656483977239,0.394878706199461,0.61127358490566,0.605417789757412,0.587008086253369,0.632857142857143
"31","PL_031",0.692664368939065,0.331410825199645,0.407793367346939,0.385718537414966,0.392614795918367,0.412840136054422
"32","PL_032",0.767236652236652,0.388888888888889,0.515670995670996,0.631212121212121,0.499480519480519,0.625541125541126
"33","PL_033",0.861447963800905,0.664027149321267,0.673212669683258,0.675339366515837,0.683190045248869,0.679864253393665
"34","PL_034",0.831652644230769,0.249699519230769,0.469666466346154,0.438296274038461,0.456346153846154,0.520432692307692
"35","PL_035",0.636129111324407,0.312106918238994,0.364848008385744,0.388574423480084,0.363259958071279,0.408542976939203
"36","PL_036",0.651509259259259,0.430555555555556,0.467657407407407,0.466666666666667,0.456,0.475
"37","PL_037",0.821075,0.515277777777778,0.730325,0.6521,0.692425,0.64
"38","PL_038",0.855714285714286,0.470238095238095,0.732767857142857,0.694821428571429,0.730952380952381,0.741071428571428
"39","PL_039",0.830126874279123,0.345444059976932,0.555594002306805,0.497877739331026,0.542525951557093,0.504613610149942
"40","PL_040",0.691297113071371,0.294019933554817,0.447776377591935,0.469642857142857,0.415299003322259,0.622694466720128
"41","PL_041",0.696731861536813,0.397840531561462,0.525265780730897,0.556162790697674,0.523837209302326,0.556589147286822
"42","PL_042",0.5491829004329,0.345238095238095,0.362142857142857,0.369047619047619,0.362142857142857,0.369047619047619
"43","PL_043",0.81992402245451,0.441369606003752,0.636435272045028,0.611278229448961,0.618283649503162,0.642953929539295
"44","PL_044",0.764102943207604,0.240078074170462,0.59317154004911,0.57007657859382,0.572346917450366,0.672119570085087
"45","PL_045",0.668106819650937,0.332417582417582,0.405168269230769,0.404711538461538,0.411586538461538,0.40625
"46","PL_046",0.914190340909091,0.657670454545455,0.73078125,0.752840909090909,0.744474431818182,0.764204545454546
"47","PL_047",0.88064233163554,0.309139784946237,0.628259762308998,0.65407753254103,0.630232031692133,0.714346349745331
"48","PL_048",0.854515147087473,0.33364991233197,0.633444915254237,0.659422316384181,0.647098870056497,0.688700564971751
"49","PL_049",0.879416483149816,0.321975308641975,0.715028395061728,0.67732012012012,0.687951918585252,0.775675675675676
"50","PL_050",0.750227106227106,0.397619047619048,0.563452380952381,0.511408163265306,0.481510204081633,0.591836734693878
"51","PL_051",0.826923687423687,0.311538461538461,0.61318253968254,0.700031746031746,0.586992063492063,0.700793650793651
"52","PL_052",0.784960927960928,0.412087912087912,0.628854700854701,0.651435897435897,0.613247863247863,0.676068376068376
"53","PL_053",0.74049410192876,0.250956632653061,0.52531462585034,0.458989898989899,0.50811826814059,0.505819418676562
"54","PL_054",0.747039271124761,0.256803887935963,0.5035431675243,0.513562163072776,0.488491995425958,0.583529874213837
"55","PL_055",0.741439836707767,0.292854140395124,0.554847374847375,0.579451029844472,0.563282051282051,0.637788986969315
"56","PL_056",0.812211467375851,0.26964752962906,0.571747575804217,0.554534400492535,0.560501462213329,0.588514225500527
"57","PL_057",0.805159187769884,0.201914959332853,0.539159805331946,0.521748524766049,0.526061934856117,0.557628499334406
"58","PL_058",0.792080097570689,0.416766228594186,0.550692951015532,0.558482676224612,0.568291517323775,0.577260055754679
"59","PL_059",0.769526627218935,0.363905325443787,0.358698224852071,0.36491124260355,0.363076923076923,0.375739644970414
"60","SD_001",0.814829931972789,0.459183673469388,0.545850340136054,0.514081632653061,0.522857142857143,0.506802721088435
"61","SD_002",0.666693690618422,0.5,0.491111111111111,0.5,0.491904761904762,0.5
"62","SD_003",0.616183249223602,0.305059523809524,0.328095238095238,0.316576086956522,0.305896739130435,0.316576086956522
"63","SD_004",0.635556237781036,0.212096774193548,0.235064516129032,0.23891935483871,0.235,0.24758064516129
